Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
3.78,4789.04,-3556.04,7958.26,12.4785,1.7195,-17.2956,10022.4,4511.15,11695.2,145.969,368.014,-50.2378,617.143,9757.53,-2354.37,-16.6855,-32.6187,-53.3936,-227.173,-14070.6,-1077.31,-34.1123,-133.276,-377.75,1153.72,9413.95,-1807.52,12.9537,-33.2979,-82.7463,-9043.1,-3260.69,-788.307,1.47325,-20.3113,-71.6719,8196.63,713.265,2996.67,-45.1988,7.06378,-10.2075
3.7805,4790.61,-3582.38,7938.68,12.6143,1.70142,-17.1236,10122.2,4624.2,11670.3,145.613,367.236,-49.5506,602.615,9738.55,-2392.51,-16.5544,-32.8878,-53.4841,-207.146,-14181.6,-1043.99,-34.2313,-134.258,-377.783,1120.35,9408.3,-1820.52,12.8944,-32.6886,-82.6402,-9048.93,-3257.8,-745.167,1.64852,-22.7145,-71.5688,8204.42,717.222,3012.53,-44.8879,6.84269,-10.2623
3.781,4792.18,-3608.72,7919.09,12.75,1.68334,-16.9517,10222.1,4737.26,11645.3,145.256,366.457,-48.8634,588.086,9719.56,-2430.65,-16.4233,-33.157,-53.5746,-187.119,-14292.5,-1010.68,-34.3504,-135.24,-377.816,1086.98,9402.65,-1833.51,12.8351,-32.0792,-82.534,-9054.76,-3254.9,-702.027,1.82379,-25.1176,-71.4657,8212.21,721.179,3028.39,-44.577,6.62159,-10.3172
3.7815,4793.76,-3635.07,7899.51,12.8857,1.66526,-16.7798,10321.9,4850.32,11620.4,144.9,365.679,-48.1761,573.557,9700.58,-2468.79,-16.2921,-33.4261,-53.6651,-167.092,-14403.4,-977.362,-34.4694,-136.222,-377.849,1053.61,9397.0,-1846.51,12.7758,-31.4699,-82.4279,-9060.59,-3252.01,-658.887,1.99907,-27.5207,-71.3626,8220.01,725.137,3044.24,-44.266,6.40049,-10.3721
3.782,4795.33,-3661.41,7879.92,13.0214,1.64717,-16.6078,10421.8,4963.37,11595.4,144.544,364.901,-47.4889,559.028,9681.6,-2506.94,-16.161,-33.6952,-53.7556,-147.065,-14514.4,-944.047,-34.5885,-137.205,-377.882,1020.24,9391.35,-1859.51,12.7164,-30.8606,-82.3218,-9066.42,-3249.11,-615.747,2.17434,-29.9238,-71.2595,8227.8,729.094,3060.1,-43.9551,6.17939,-10.427
3.7825,4808.95,-3716.56,7864.02,13.022,1.71735,-16.6891,10523.9,5090.12,11565.3,143.951,363.943,-46.9398,534.546,9671.29,-2529.15,-16.2137,-33.8201,-53.8851,-135.297,-14617.9,-913.888,-34.719,-137.804,-377.815,990.391,9389.2,-1870.28,12.7092,-30.2692,-82.2659,-9078.25,-3248.78,-578.43,2.55271,-32.2709,-71.257,8231.76,728.587,3063.73,-43.7368,5.97108,-10.4736
3.783,4832.21,-3794.75,7851.06,12.9146,1.85813,-16.9728,10627.8,5227.82,11531.0,143.167,362.843,-46.5012,502.101,9667.92,-2538.63,-16.4134,-33.8297,-54.0457,-130.135,-14715.5,-886.253,-34.8588,-138.097,-377.666,963.357,9389.85,-1879.28,12.7435,-29.6921,-82.2501,-9094.89,-3250.49,-545.771,3.09355,-34.5732,-71.3352,8232.65,724.507,3057.58,-43.5925,5.77298,-10.5137
3.7835,4855.46,-3872.94,7838.1,12.8072,1.99891,-17.2566,10731.6,5365.52,11496.6,142.384,361.742,-46.0626,469.656,9664.56,-2548.11,-16.6131,-33.8392,-54.2063,-124.973,-14813.1,-858.619,-34.9985,-138.389,-377.518,936.323,9390.49,-1888.28,12.7779,-29.1151,-82.2344,-9111.53,-3252.2,-513.113,3.63439,-36.8754,-71.4133,8233.54,720.428,3051.43,-43.4482,5.57488,-10.5538
3.784,4878.72,-3951.13,7825.15,12.6997,2.13968,-17.5404,10835.5,5503.22,11462.3,141.6,360.642,-45.6241,437.211,9661.19,-2557.59,-16.8127,-33.8488,-54.3668,-119.811,-14910.7,-830.985,-35.1383,-138.682,-377.37,909.289,9391.14,-1897.28,12.8123,-28.538,-82.2186,-9128.17,-3253.91,-480.454,4.17523,-39.1777,-71.4914,8234.44,716.349,3045.27,-43.304,5.37679,-10.5938
3.7845,4901.97,-4029.32,7812.19,12.5923,2.28046,-17.8242,10939.4,5640.92,11428.0,140.817,359.541,-45.1855,404.766,9657.83,-2567.07,-17.0124,-33.8583,-54.5274,-114.649,-15008.2,-803.35,-35.278,-138.975,-377.222,882.255,9391.78,-1906.27,12.8466,-27.961,-82.2029,-9144.81,-3255.62,-447.795,4.71607,-41.48,-71.5695,8235.33,712.269,3039.12,-43.1597,5.17869,-10.6339
