Time,RFoot_accel.x,RFoot_accel.y,RFoot_accel.z,RFoot_gyro.x,RFoot_gyro.y,RFoot_gyro.z,LFoot_accel.x,LFoot_accel.y,LFoot_accel.z,LFoot_gyro.x,LFoot_gyro.y,LFoot_gyro.z,RShank_accel.x,RShank_accel.y,RShank_accel.z,RShank_gyro.x,RShank_gyro.y,RShank_gyro.z,LShank_accel.x,LShank_accel.y,LShank_accel.z,LShank_gyro.x,LShank_gyro.y,LShank_gyro.z,RThigh_accel.x,RThigh_accel.y,RThigh_accel.z,RThigh_gyro.x,RThigh_gyro.y,RThigh_gyro.z,LThigh_accel.x,LThigh_accel.y,LThigh_accel.z,LThigh_gyro.x,LThigh_gyro.y,LThigh_gyro.z,Pelvis_accel.x,Pelvis_accel.y,Pelvis_accel.z,Pelvis_gyro.x,Pelvis_gyro.y,Pelvis_gyro.z
0.0,5373.23,-3038.89,7585.55,-1.50961,-29.7964,-2.11711,4948.04,3632.7,7329.07,1.30897,-21.4685,2.87206,123.966,9584.31,-1661.1,-4.13309,-20.0413,5.33111,528.607,-9584.86,-2413.38,0.536131,-2.34275,0.357665,-1539.68,9324.22,-2355.89,4.76182,-24.9943,-7.69731,-2192.65,-9773.04,-2505.4,-6.07327,-9.16811,10.3056,9169.46,240.065,4870.46,-15.3011,11.0994,3.77482
0.001,5378.17,-3051.62,7570.89,-1.69052,-29.8196,-2.1338,4965.2,3671.3,7327.98,1.12763,-21.4034,2.88333,108.812,9563.8,-1688.71,-4.0257,-19.7401,5.23078,524.815,-9607.54,-2423.69,0.603787,-2.26043,0.620637,-1492.1,9316.0,-2362.85,4.62457,-24.7986,-7.59448,-2183.9,-9792.28,-2512.53,-6.00604,-8.84394,10.1503,9168.37,183.465,4842.26,-14.6467,11.2699,3.74377
0.002,5383.12,-3064.35,7556.23,-1.87142,-29.8429,-2.15049,4982.36,3709.89,7326.89,0.946294,-21.3384,2.89461,93.6585,9543.29,-1716.32,-3.91831,-19.4389,5.13045,521.022,-9630.21,-2434.0,0.671443,-2.17811,0.883609,-1444.52,9307.77,-2369.8,4.48732,-24.6028,-7.49164,-2175.16,-9811.52,-2519.67,-5.93881,-8.51978,9.99508,9167.28,126.866,4814.06,-13.9922,11.4405,3.71272
0.003,5388.06,-3077.08,7541.57,-2.05232,-29.8662,-2.16718,4999.52,3748.49,7325.81,0.764958,-21.2733,2.90588,78.5048,9522.78,-1743.94,-3.81093,-19.1377,5.03012,517.23,-9652.89,-2444.3,0.739099,-2.09579,1.14658,-1396.95,9299.55,-2376.76,4.35008,-24.407,-7.38881,-2166.41,-9830.75,-2526.8,-5.87158,-8.19561,9.83984,9166.19,70.2661,4785.86,-13.3377,11.611,3.68168
0.004,5393.01,-3089.81,7526.92,-2.23322,-29.8895,-2.18387,5016.69,3787.08,7324.72,0.583621,-21.2082,2.91715,63.351,9502.27,-1771.55,-3.70354,-18.8365,4.92978,513.438,-9675.56,-2454.61,0.806755,-2.01348,1.40955,-1349.37,9291.32,-2383.71,4.21283,-24.2112,-7.28598,-2157.67,-9850.0,-2533.93,-5.80435,-7.87144,9.6846,9165.11,13.6664,4757.66,-12.6832,11.7816,3.65063
0.005,5394.9,-3083.84,7503.73,-2.36166,-29.8773,-2.1433,5035.15,3813.08,7330.86,0.416083,-21.0815,2.91986,52.0658,9487.71,-1780.13,-3.71328,-18.5282,4.82343,514.706,-9692.46,-2460.62,0.906817,-1.88213,1.64874,-1333.84,9278.28,-2415.65,4.01921,-23.953,-7.22946,-2159.44,-9861.46,-2554.56,-5.73058,-7.56289,9.42773,9161.57,-15.4372,4736.93,-12.0249,11.8841,3.59413
0.006,5394.35,-3062.91,7473.73,-2.44813,-29.8368,-2.05693,5054.67,3828.99,7342.77,0.259583,-20.9053,2.9157,43.8756,9477.92,-1773.49,-3.81672,-18.2141,4.71227,520.02,-9704.72,-2463.2,1.0328,-1.71157,1.86891,-1343.95,9261.39,-2467.56,3.78048,-23.6447,-7.20998,-2169.62,-9866.71,-2586.01,-5.65157,-7.26683,9.08957,9156.09,-22.5439,4722.19,-11.3636,11.9321,3.51727
0.007,5393.8,-3041.98,7443.72,-2.5346,-29.7962,-1.97056,5074.18,3844.91,7354.69,0.103084,-20.7292,2.91155,35.6853,9468.13,-1766.86,-3.92016,-17.9001,4.60111,525.335,-9716.98,-2465.79,1.15879,-1.54101,2.08908,-1354.05,9244.49,-2519.48,3.54176,-23.3365,-7.1905,-2179.81,-9871.95,-2617.45,-5.57257,-6.97077,8.7514,9150.6,-29.6506,4707.44,-10.7022,11.9801,3.4404
0.008,5393.25,-3021.06,7413.71,-2.62107,-29.7557,-1.88419,5093.7,3860.83,7366.6,-0.0534156,-20.553,2.9074,27.4951,9458.34,-1760.22,-4.0236,-17.5861,4.48994,530.649,-9729.24,-2468.37,1.28477,-1.37044,2.30925,-1364.16,9227.6,-2571.39,3.30304,-23.0283,-7.17102,-2189.99,-9877.2,-2648.89,-5.49356,-6.6747,8.41324,9145.11,-36.7574,4692.7,-10.0408,12.0282,3.36354
0.009,5393.76,-3002.99,7386.33,-2.68886,-29.7055,-1.79543,5112.95,3873.96,7378.14,-0.199549,-20.3896,2.91026,23.3295,9447.65,-1754.84,-4.11717,-17.2795,4.37878,536.369,-9738.39,-2473.29,1.41076,-1.20725,2.52398,-1372.76,9208.01,-2616.62,3.06423,-22.7248,-7.16948,-2200.09,-9878.69,-2681.47,-5.40879,-6.35932,8.0723,9135.2,-45.4692,4677.49,-9.40255,12.0687,3.27965
0.01,5402.67,-3007.78,7379.92,-2.6072,-29.5781,-1.68754,5130.08,3864.82,7386.64,-0.262759,-20.3278,2.9692,51.3613,9429.73,-1759.58,-4.13174,-17.0328,4.26762,545.333,-9722.66,-2497.0,1.53675,-1.10306,2.69514,-1369.28,9166.88,-2608.36,2.82474,-22.4587,-7.31153,-2209.44,-9850.1,-2723.2,-5.27791,-5.88936,7.70911,9089.92,-67.0218,4658.55,-8.94882,12.0493,3.13953
0.011,5411.57,-3012.57,7373.5,-2.52553,-29.4507,-1.57966,5147.21,3855.68,7395.13,-0.325968,-20.266,3.02815,79.3931,9411.8,-1764.31,-4.14631,-16.7861,4.15645,554.297,-9706.93,-2520.71,1.66273,-0.998868,2.86631,-1365.8,9125.75,-2600.11,2.58524,-22.1926,-7.45358,-2218.79,-9821.51,-2764.93,-5.14703,-5.41941,7.34592,9044.64,-88.5744,4639.61,-8.49508,12.03,2.99942
